generation	Freq_HbA	Freq_HbS	Freq_HbAHbA	Freq_HbAHbS	Freq_HbSHbS
0	0.940000	0.060000	0.883600	0.112800	0.003600
1	0.942374	0.057626	0.888069	0.108610	0.003321
2	0.944525	0.055475	0.892128	0.104794	0.003077
3	0.946483	0.053517	0.895831	0.101305	0.002864
4	0.948272	0.051728	0.899220	0.098104	0.002676
5	0.949913	0.050087	0.902335	0.095156	0.002509
6	0.951423	0.048577	0.905207	0.092434	0.002360
7	0.952818	0.047182	0.907861	0.089912	0.002226
8	0.954108	0.045892	0.910323	0.087571	0.002106
9	0.955307	0.044693	0.912611	0.085392	0.001998
